Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,86.33123630094808,109.65219611438063,5.090214793491445,-0.33612300518216515,0.022699999999999942,0.03959999999999997,0.0058,6158.222222222222,0.00017638109830308987,0.00017638109830308987,0.00017638109830308987,0_1:0.01269453661574027,0_1:810.6666666666666
1,85.58309287965234,94.14860176435128,5.245519952166479,-0.316572131412737,0.017800000000000038,0.026599999999999957,0.009,6158.222222222222,0.0004249060647338386,0.0004249060647338386,0.0004249060647338386,1_3:0.009315963264305366; 1_2:0.009360805019740681; 1_0:0.01269453661574027,1_3:440.88888888888886; 1_2:419.55555555555554; 1_0:775.1111111111111
2,61.75892557075756,75.13478727872582,5.361488327747502,-0.3306274884584928,0.021299999999999986,0.0372,0.00539999999999996,6158.222222222222,0.0003621546815389188,0.0003621546815389188,0.0003621546815389188,2_1:0.009360805019740681,2_1:384
3,86.33721788189786,94.52930645758951,5.170327815987221,-0.33373922611368106,0.03489999999999993,0.054200000000000026,0.0156,6158.222222222222,0.0004639361416048788,0.0004639361416048788,0.0004639361416048788,3_4:0.012005216107949829; 3_1:0.009315963264305366,3_4:526.2222222222222; 3_1:405.3333333333333
4,88.88175763762958,133.0083404864669,5.2584647298816085,-0.3313451432371279,0.02510000000000001,0.032399999999999984,0.0178,6158.222222222222,0.0004343520654027876,0.0004343520654027876,0.0004343520654027876,4_3:0.012005216107949829,4_3:490.66666666666663
