Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,143.83174248367476,211.5852091436833,5.029749642960506,-0.33574155258829724,0.018199999999999994,0.029000000000000026,0.0074,5912.888888888889,0.0003193227112143477,0.0003193227112143477,0.0003193227112143477,0_1:0.007706662736002956,0_1:305.77777777777777
1,112.00365928992207,156.74024098108464,5.127743135642841,-0.3183491230373718,0.014599999999999946,0.02200000000000002,0.0072,5912.888888888889,0.0005444390255248943,0.0005444390255248943,0.0005444390255248943,1_0:0.007706662736002956; 1_3:0.01155578762962478; 1_2:0.007344608261726893,1_0:341.3333333333333; 1_3:497.77777777777777; 1_2:334.22222222222223
2,100.29647407856069,159.57361375732802,5.24735243972932,-0.3336036607926792,0.020299999999999985,0.03280000000000005,0.0078,5912.888888888889,0.0005172554828325901,0.0005172554828325901,0.0005172554828325901,2_1:0.007344608261726893,2_1:298.66666666666663
3,88.60026365215332,103.40700339100265,5.302576367226031,-0.33124193185343576,0.0363,0.0514,0.0212,5912.888888888889,0.00023878564083521344,0.00023878564083521344,0.00023878564083521344,3_1:0.01155578762962478; 3_4:0.01564863983958395,3_1:462.2222222222222; 3_4:519.1111111111111
4,23.225494560054283,24.663331661167874,5.092085187442554,-0.3344696566823515,0.049800000000000066,0.08540000000000003,0.0142,5912.888888888889,0.0007588979244448876,0.0007588979244448876,0.0007588979244448876,4_3:0.01564863983958395,4_3:483.55555555555554
